Element	Site	Distance from PP	Description	Eval Date	Layer Thickness	Mass coefficient.	Na	Na	Mg	Mg	Al	Al	Si	Si	P	P	S	S	Cl	Cl	K	K	Ca	Ca	Ti	Ti	V	V	Cr	Cr	Mn	Mn	Fe	Fe	Co	Co	Ni	Ni	Cu	Cu	Zn	Zn	Ga	Ga	Ge	Ge	As	As	Se	Se	Br	Br	Kr	Kr	Rb	Rb	Sr	Sr	Y	Y	Zr	Zr	Nb	Nb	Mo	Mo	Tc	Tc	Ru	Ru	Rh	Rh	Pd	Pd	Ag	Ag	Cd	Cd	In	In	Sn	Sn	Sb	Sb	Te	Te	I	I	Xe	Xe	Cs	Cs	Ba	Ba	La	La	Ce	Ce	Pr	Pr	Nd	Nd	Pm	Pm	Sm	Sm	Er	Er	Tm	Tm	Yb	Yb	Lu	Lu	Hf	Hf	Ta	Ta	W	W	Au	Au	Hg	Hg	Tl	Tl	Pb	Pb	Bi	Bi	Th	Th	U	U	Sum Conc.		YLPP	0.00000000
Dimension					nm	cm?/g	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	%	%	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	%	%	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	%	%	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	%	%	?g/g	?g/g	?g/g	?g/g	%	%	?g/g	?g/g	%	%	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	%		YL01	0.02385448
YL25_S	YL25	0.01066902		8/14/2012 14:34	0	12.0553	0.288	0.051	1.581	0.016	7.885	0.0084	25.67	0.00001	0.1103	0.0018	0.0599	0.00047	0.00826	0.00075	1.971	0.00001	2.132	0.00075	5575	0.1	108.1	0.7	74.2	0.7	764	0.6	42600	0.1	26.9	12	44.7	1.7	43	1.1	98.4	0.6	22.1	0.6	2	0.7	9	0.3	< 0.2	0.1	2	0.3			107	0.2	124.7	0.2	31.5	0.6	249	0.5	19.8	1	< 0.5	0.5			0.8	0.5	< 0.5	0.5	< 0.5	0.5	3.6	0.8	0.8	0.6	0.6	0.6	2.3	0.8	< 0.5	0.5	< 0.5	0.5	< 0.7	0.7			< 1.0	1	566.3	4.9	32.9	6.8	92.9	8.3	< 4.0	4	< 5.1	5			6.2	2.1									6.8	2.6	< 1.6	1.6	2.4	1.6	< 1.0	1	< 0.7	0.7	< 0.2	0.2	36.4	0.6	< 0.5	0.5	14.3	0.7	< 0.4	0.4	85.931		YL24	0.01345640
YL26_S	YL26	0.01053551		8/14/2012 14:37	0	12.5669	< 0.083	0.082	2.195	0.024	10.87	0.011	30.47	0.00001	0.1237	0.0021	0.1086	0.00001	0.00507	0.00083	2.086	0.00001	1.687	0.00088	5333	0.1	112.5	0.8	74.2	0.7	783	0.6	48450	0.1	17.5	13	48.5	1.8	39.9	1.2	118.8	0.7	22.2	0.6	1.6	0.7	9.7	0.4	2.1	0.3	3.1	0.3			121.8	0.3	110.1	0.3	31.3	0.7	255	0.6	20.6	1.2	< 1.1	1.1			1	0.5	< 0.5	0.5	< 0.5	0.5	4.9	0.9	0.6	0.6	0.9	0.7	4.7	0.9	2.6	1.1	1.6	0.8	2.7	2.2			6.3	4.3	566.1	5.6	55.6	8.9	114.3	10	< 4.0	4	< 5.1	5			3.9	2.2									6	2.6	< 1.6	1.6	1.2	1.2	1	0.9	< 0.7	0.7	< 0.1	0.1	44.6	0.7	< 0.5	0.5	14.3	0.8	< 0.4	0.4	102.9372		YL25	0.01066902
YL27_S	YL27	0.01032969		8/14/2012 14:40	0	12.6462	0.293	0.07	2.16	0.021	11.13	0.011	30.08	0.00001	0.1366	0.0021	0.07616	0.00045	0.00297	0.00083	2.166	0.00001	1.415	0.00095	5792	0.1	128.1	0.8	83.1	0.7	858.4	0.5	50740	0.1	25.1	13	53	1.8	49.2	1.2	108.4	0.7	23.9	0.7	1.5	0.7	11.4	0.4	< 0.3	0.3	1.9	0.3			127.7	0.3	99	0.3	32.7	0.6	227.2	0.6	20.4	1.1	< 1.1	1.1			1.2	0.5	< 0.5	0.5	< 0.5	0.5	3.7	0.9	< 0.5	0.5	< 0.7	0.7	3.9	0.8	1.3	1	< 0.8	0.8	< 2.1	2.1			4.2	4.1	571.7	5.2	49.4	7.8	106.2	9.3	< 4.0	4	< 5.1	5			4.6	2.3									6.7	2.7	< 1.6	1.6	2	1.6	< 1.0	1	< 0.7	0.7	< 0.2	0.2	39.7	0.7	< 0.5	0.5	15.3	0.8	< 0.4	0.4	102.9997		YL26	0.01053551
YL28_S	YL28	0.01127266		8/14/2012 14:44	0	12.3604	0.0625	0.051	1.499	0.016	8.996	0.0082	24.85	0.00001	0.1499	0.0019	0.03985	0.00063	0.0017	0.00076	2.187	0.00001	0.8438	0.00095	5693	0.1	140	0.7	87.5	0.6	865	0.5	53020	0.1	30.2	12	54.3	1.8	45.2	1.2	118	0.7	25.6	0.7	1.2	0.8	11.6	0.4	< 0.5	0.5	2.4	0.3			137.7	0.3	87.4	0.3	34.1	0.6	204.9	0.6	20.6	1	0.8	0.7			1.3	0.5	< 0.5	0.5	< 0.5	0.5	3.3	0.8	< 0.4	0.4	0.7	0.6	4.3	0.8	1.9	1	< 0.7	0.7	< 1.9	1.9			7.2	3.8	625.2	4.7	44.9	6.6	108.9	8.1	< 4.0	4	< 5.1	5			6.3	2.1									10.1	2.7	< 1.6	1.6	4.3	1.6	< 1.1	1	< 0.7	0.7	< 0.6	0.6	41.7	0.7	< 0.5	0.5	18.6	0.9	< 0.4	0.4	85.8551		YL27	0.01032969
YL29_S	YL29	0.01176165		8/14/2012 14:47	0	12.2734	0.0697	0.044	1.312	0.014	7.383	0.0075	24.29	0.00001	0.1111	0.0018	0.03455	0.00061	0.00609	0.00074	2.11	0.00001	1.4	0.00088	5373	0.1	113.8	0.7	76.3	0.6	776	0.5	44960	0.1	23	12	46.7	1.7	41	1.1	100.7	0.6	24.8	0.7	1.3	0.7	9.5	0.4	0.4	0.3	1.3	0.3			117.8	0.2	103.2	0.2	32.9	0.6	250.2	0.5	18.9	0.9	0.5	0.5			1	0.5	< 0.5	0.5	< 0.5	0.5	4.3	0.8	< 0.4	0.4	0.3	0.3	3.7	0.8	1	0.9	< 0.7	0.7	< 1.9	1.9			5.2	3.7	584.9	4.6	42.6	6.1	96.1	7.6	< 4.0	4	< 19	19			5.2	2.1									12.6	2.7	< 1.6	1.6	2.9	1.6	< 1.0	1	< 0.7	0.7	< 0.1	0.1	35.3	0.6	< 0.5	0.5	16.3	0.8	< 0.4	0.4	80.674		YL28	0.01127266
YL30_S	YL30	0.01052873		8/15/2012 11:48	0	11.459	0.127	0.05	0.952	0.015	8.073	0.0082	25.86	0.00001	0.0788	0.0019	0.05057	0.00051	0.0033	0.00073	1.702	0.00001	0.5909	0.00082	5099	0.1	111.6	0.7	79.5	0.5	864.5	0.5	44930	0.1	32.8	12	46.1	1.7	36	1.1	93.4	0.6	21.8	0.7	< 0.5	0.5	9.9	0.3	< 0.1	0.1	1.5	0.3			118.7	0.2	79.6	0.2	33.1	0.6	248.6	0.5	19.5	1	< 0.5	0.5			0.7	0.5	< 0.5	0.5	< 0.5	0.5	4.8	0.8	0.7	0.6	< 0.6	0.6	3.3	0.8	< 0.5	0.5	< 0.5	0.5	< 0.7	0.7			< 3.9	3.9	601.2	5	35.5	6.9	112.8	8.4	< 4.0	4	< 5.1	5			4.5	2									10.4	2.6	< 1.6	1.6	2.9	1.5	1.6	1	< 0.7	0.7	0.5	0.4	41.8	0.6	< 0.5	0.5	16.7	0.8	< 0.4	0.4	83.117		YL29	0.01176165
YL31_S	YL31	0.01148116		8/15/2012 11:51	0	11.9212	0.218	0.04	1.246	0.013	7.074	0.0071	23.66	0.00001	0.107	0.0018	0.045	0.00054	0.00786	0.00073	2.081	0.00001	1.023	0.0009	5141	0.1	107.6	0.7	72.7	0.6	717.7	0.5	41090	0.1	20.6	12	41.4	1.7	36.1	1.1	97.4	0.6	25.6	0.6	1.2	0.7	7.6	0.3	0.4	0.3	1.7	0.3			109.1	0.2	107.6	0.2	29.1	0.5	230.3	0.5	16	0.9	< 0.9	0.9			0.6	0.5	< 0.5	0.5	< 0.5	0.5	3.7	0.8	< 0.4	0.4	0.5	0.5	3.3	0.7	< 0.9	0.9	< 0.5	0.5	< 0.7	0.7			< 3.7	3.7	560	4.6	24.8	6	80	7.5	< 4.0	4	< 5.1	5			7.7	2									6.2	2.6	< 1.6	1.6	1.7	1.6	< 1.0	1	< 0.7	0.7	< 0.7	0.7	36.7	0.6	< 0.5	0.5	13.6	0.8	< 0.4	0.4	77.6691		YL30	0.01052873
YL32_S	YL32	0.01085207		8/15/2012 11:55	0	12.1911	0.189	0.042	1.353	0.013	7.611	0.0072	23.85	0.00001	0.1707	0.0018	0.03647	0.00061	0.00142	0.00075	2.108	0.00001	1.098	0.0009	5380	0.1	120.7	0.7	78.6	0.6	766.3	0.5	44980	0.1	23.7	12	46.2	1.7	40.8	1.1	104.6	0.6	23.5	0.7	< 0.5	0.5	9.7	0.4	0.4	0.3	1.2	0.3			119.1	0.2	103.6	0.2	31.6	0.6	226.1	0.5	19.5	0.9	1	0.9			1.1	0.5	< 0.5	0.5	< 0.5	0.5	4.5	0.8	< 0.2	0.2	< 0.6	0.6	3.4	0.8	0.9	0.8	< 0.5	0.5	< 1.9	1.9			3	2.7	565.3	4.6	34.2	6	85.9	7.5	< 4.0	4	< 5.1	5			8.5	2.1									11.7	2.7	< 1.6	1.6	3.6	1.6	< 1.0	1	< 0.7	0.7	< 0.4	0.4	36.7	0.6	< 0.5	0.5	16	0.8	< 0.4	0.4	80.0987		YL31	0.01148116
YL33_S	YL33	0.01119984		8/15/2012 11:58	0	12.1928	0.309	0.05	1.582	0.015	7.881	0.0083	25.66	0.00001	0.0862	0.0019	0.06761	0.00044	0.0037	0.00076	2.034	0.00001	2.516	0.00073	5578	0.1	113.1	0.8	75.4	0.8	921.5	0.5	43060	0.1	14.5	13	46.4	1.7	36.8	1.1	99.2	0.6	20.4	0.7	< 0.5	0.5	9.3	0.4	< 0.2	0.2	1.2	0.3			115.3	0.2	133.8	0.2	32.2	0.6	242.9	0.5	20.6	1	1.4	1			0.7	0.5	< 0.5	0.5	< 0.5	0.5	4.4	0.8	0.7	0.6	0.6	0.5	2.9	0.8	< 0.5	0.5	< 0.5	0.5	< 1.9	1.9			4.2	3.8	559.7	4.8	42.9	6.6	103.7	8.2	< 4.0	4	< 5.1	5			3.7	2.3									11.7	2.7	< 1.6	1.6	3.4	1.6	< 1.0	1	< 0.7	0.7	< 0.3	0.3	36.4	0.6	< 0.5	0.5	15.9	0.8	< 0.4	0.4	86.5891		YL32	0.01085207
YL34_S	YL34	0.01053011		8/15/2012 12:01	0	12.1882	0.128	0.043	1.187	0.013	7.124	0.0073	23.2	0.00001	0.1152	0.0018	0.04513	0.00054	0.00426	0.00073	1.957	0.00001	1.108	0.00085	5246	0.1	112.9	0.7	79.4	0.6	699.6	0.6	44560	0.1	19.1	12	52	1.7	48.2	1.1	105	0.6	24	0.6	1.8	0.7	10.1	0.3	0.5	0.3	1.8	0.3			119	0.2	107.8	0.2	31.1	0.6	220.3	0.5	19.9	0.9	1	0.9			1	0.5	< 0.5	0.5	< 0.5	0.5	3.8	0.8	< 0.4	0.4	< 0.5	0.5	2.2	0.8	0.4	0.4	< 0.5	0.5	< 0.7	0.7			< 3.7	3.7	550.1	4.7	32.1	6.1	85.7	7.6	< 4.0	4	< 5.1	5			7.2	2									7.5	2.7	< 1.6	1.6	2.8	1.6	< 1.0	1	< 0.7	0.7	< 0.7	0.7	36	0.6	< 0.5	0.5	16.3	0.8	< 0.4	0.4	77.0662		YL33	0.01119984
YL35_S	YL35	0.01162354		8/15/2012 12:04	0	12.4143	0.282	0.046	1.46	0.014	7.363	0.0078	24.45	0.00001	0.0965	0.0019	0.07943	0.00033	0.01587	0.00075	2.025	0.00001	2.349	0.00075	5700	0.1	112.8	0.8	76.2	0.8	888.1	0.5	43620	0.1	18.2	13	45.9	1.7	43.4	1.1	102.5	0.6	21.4	0.7	< 0.5	0.5	9.7	0.4	< 0.3	0.3	1.9	0.3			112.4	0.2	125.9	0.2	31.1	0.6	239.2	0.5	19.4	0.9	0.4	0.4			1.1	0.5	< 0.5	0.5	< 0.5	0.5	4	0.8	0.5	0.4	0.8	0.6	3.5	0.7	1.3	0.9	0.5	0.5	< 1.9	1.8			4.2	3.6	485.7	4.6	40.4	6.1	94.8	7.5	< 4.0	4	< 5.1	5			4.8	2.2									12	2.7	< 1.6	1.6	2.5	1.6	< 1.0	1	< 0.7	0.7	< 0.7	0.7	35.4	0.6	< 0.5	0.5	15.4	0.8	< 0.4	0.4	82.6998		YL34	0.01053011
YL36_S	YL36	0.01135195		8/15/2012 12:08	0	12.4594	0.1023	0.058	1.415	0.017	7.251	0.0079	23.67	0.00001	0.2118	0.0019	0.2554	0.00001	0.03809	0.00073	2.023	0.00001	3.426	0.00057	5183	0.1	101.2	0.8	78.1	0.8	764	0.8	41120	0.1	27.1	13	46.1	1.7	42.3	1.1	110	0.6	23.6	0.6	1.9	0.7	9.2	0.4	0.8	0.3	2.9	0.3			109.3	0.2	167	0.2	29.7	0.6	222.3	0.5	19	1	0.4	0.4			1	0.5	< 0.5	0.5	< 0.5	0.5	4.3	0.8	0.5	0.4	0.9	0.6	3.6	0.7	2.8	0.9	0.7	0.7	1.4	1.3			< 3.7	3.6	431.5	4.7	32.7	6.6	81.7	8	< 4.0	4	< 5.1	5			2.5	2.3									10.4	2.6	< 1.6	1.6	2.3	1.6	< 1.0	1	< 0.7	0.7	< 0.1	0.1	38	0.6	< 0.5	0.5	14.5	0.7	< 0.4	0.4	82.262		YL35	0.01162354
YL37_S	YL37	0.01204628		8/15/2012 12:11	0	12.3095	0.302	0.041	1.368	0.013	7	0.0072	23.87	0.00001	0.0911	0.0018	0.03742	0.0006	0.01767	0.00074	2	0.00001	2.228	0.00075	5786	0.1	111.6	0.8	76.8	0.7	794.2	0.6	41640	0.1	30.1	13	47.4	1.7	71.8	1.1	102.6	0.6	22.8	0.7	< 0.6	0.6	9.6	0.4	< 0.2	0.2	1.5	0.3			109.1	0.2	122.6	0.2	31.4	0.6	240.5	0.5	21.4	0.9	0.7	0.6			0.9	0.5	< 0.5	0.5	< 0.5	0.5	3.8	0.8	< 0.5	0.5	0.3	0.3	2.8	0.8	< 0.9	0.9	< 0.5	0.5	< 0.7	0.7			< 3.7	3.6	512.3	4.6	32.6	5.9	85.4	7.4	< 4.0	4	< 5.1	5			6.4	2.1									9.5	2.7	< 1.6	1.6	2.5	1.6	< 1.0	1	< 0.7	0.7	< 0.4	0.4	34.3	0.6	< 0.5	0.5	15.3	0.8	< 0.4	0.4	80.0408		YL36	0.01135195
YL39_S	YL39	0.01273395		8/15/2012 14:03	0	12.377	0.309	0.05	1.688	0.015	8.399	0.0082	25.01	0.00001	0.0832	0.0019	0.04409	0.00059	0.00405	0.00077	2.111	0.00001	2.383	0.00077	5566	0.1	126.4	0.8	80	0.7	832.6	0.6	45940	0.1	28.7	13	49.7	1.8	44.3	1.1	114.7	0.6	22.1	0.7	1.2	0.7	10.4	0.4	< 0.2	0.2	1.7	0.3			117.7	0.2	132.6	0.2	30.9	0.6	235.6	0.6	19.2	1	0.6	0.6			1	0.5	< 0.5	0.5	< 0.5	0.5	4.4	0.8	0.7	0.7	0.5	0.4	2.3	0.8	0.7	0.7	< 0.5	0.5	< 0.7	0.7			< 3.9	3.8	640.4	4.8	40.4	6.7	97.8	8.2	< 4.0	4	< 5.1	5			4.5	2.2									7.1	2.7	< 1.6	1.6	2.5	1.6	< 1.0	1	< 0.7	0.7	< 0.2	0.2	34.6	0.6	< 0.5	0.5	14.7	0.8	< 0.4	0.4	86.6126		YL37	0.01204628
YL40_S	YL40	0.00698222		8/15/2012 14:06	0	11.3264	< 0.010	0.01	1.088	0.015	8.025	0.0076	23.3	0.00001	0.1035	0.0018	0.1174	0.00001	0.01097	0.0007	1.653	0.00001	2.136	0.0006	4821	0.1	101.5	0.7	68.3	0.7	541.4	0.6	39780	0.1	13.6	12	36	1.7	42.1	1.1	98.8	0.6	19.7	0.6	< 0.5	0.5	16.8	0.3	0.9	0.3	2.2	0.3			88	0.2	144.6	0.2	26.4	0.5	270.3	0.4	18.6	0.9	1.5	1			0.9	0.5	< 0.5	0.5	< 0.5	0.5	4.1	0.8	0.6	0.5	< 0.6	0.6	2.6	0.8	0.7	0.7	< 0.5	0.5	< 2.0	2			< 3.9	3.8	526.1	5	36.5	6.8	93.6	8.4	< 4.0	4	< 5.1	5			5.9	1.9									12.5	2.5	< 1.6	1.6	2.4	1.5	< 1.0	0.9	< 0.7	0.7	< 0.5	0.5	37.9	0.6	< 0.5	0.5	12.6	0.7	< 0.4	0.4	79.1071		YL39	0.01273395
YL41_S	YL41	0.01562855		8/15/2012 14:09	0	12.3513	0.189	0.052	1.604	0.016	8.104	0.008	24.53	0.00001	0.0677	0.0019	0.08097	0.0003	0.00601	0.00075	1.948	0.00001	2.897	0.00063	5409	0.1	115	0.8	77.3	0.8	763.9	0.6	44030	0.1	13.9	13	44.7	1.7	39.2	1.1	103.9	0.6	20.4	0.7	< 0.5	0.5	9.8	0.4	< 0.3	0.3	2	0.3			102.1	0.3	146.4	0.2	29.6	0.6	240.5	0.5	20.2	1	1.2	1			1	0.5	< 0.2	0.2	< 0.5	0.5	4.4	0.8	0.7	0.6	< 0.6	0.6	3.2	0.8	0.6	0.6	< 0.8	0.7	< 0.7	0.7			< 3.9	3.8	535.5	4.9	38.1	6.8	89.8	8.3	< 4.0	4	< 5.1	5			9	2.1									11.6	2.7	< 1.6	1.6	4.2	1.6	< 1.0	1	< 0.7	0.7	< 0.3	0.3	35.2	0.7	< 0.5	0.5	12.9	0.8	< 0.4	0.4	84.9818		YL40	0.00698222
YL42_S	YL42	0.03379443		8/15/2012 14:13	0	10.6452	0.189	0.061	0.519	0.02	7.219	0.012	38.17	0.00001	0.00414	0.0021	0.01564	0.00068	0.00375	0.00076	1.149	0.00001	0.4802	0.00072	5410	0.1	52.3	0.6	51	0.5	254.9	0.5	23560	0.1	< 12	12	22.3	1.6	15.3	1	43.4	0.6	12.9	0.6	< 0.5	0.5	6.8	0.3	< 0.2	0.2	0.4	0.2			74.5	0.2	68.6	0.2	32	0.5	415.8	0.1	22.7	1	< 0.8	0.8			0.8	0.5	< 0.5	0.5	< 0.5	0.5	4.3	0.8	< 0.4	0.4	< 0.5	0.5	2.5	0.8	< 0.5	0.5	< 0.5	0.5	< 1.8	1.8			< 4.2	4.1	390.7	5.5	45.9	7.8	104.8	9.4	< 4.0	4	< 5.1	5			3.7	1.7									13.3	2.3	< 1.6	1.6	4	1.4	< 0.9	0.9	< 0.7	0.7	< 0.2	0.2	24.4	0.6	< 0.5	0.5	14	0.6	< 0.4	0.4	102.9987		YL41	0.01562855
YL43_S	YL43	0.04262455		8/15/2012 14:16	0	10.8241	0.0703	0.047	0.361	0.015	6.646	0.0095	32.7	0.00001	0.03367	0.002	0.02469	0.00062	0.00428	0.00072	1.291	0.00001	0.3045	0.00075	5823	0.1	80.4	0.7	60	0.5	913.5	0.4	32560	0.1	15.6	12	27.9	1.6	20.3	1	48.5	0.6	15.9	0.6	< 0.2	0.2	10.5	0.3	< 0.5	0.5	0.6	0.3			84	0.2	71.4	0.2	33.9	0.5	399	0.1	23.8	0.9	2.1	1.1			0.9	0.5	< 0.5	0.5	< 0.5	0.5	3.9	0.7	0.4	0.4	0.8	0.6	3.8	0.8	< 0.5	0.5	< 0.5	0.5	< 0.7	0.7			< 1.0	1	448.2	5.1	29.9	6.8	94.1	8.3	< 4.0	4	< 5.1	5			3.9	2									15.2	2.4	< 1.6	1.6	2.8	1.4	< 0.9	0.9	< 0.7	0.7	< 0.3	0.3	36.2	0.6	< 0.5	0.5	15.7	0.6	< 0.4	0.4	91.2756		YL42	0.03379443
YL44_S	YL44	0.04289194		8/15/2012 14:19	0	11.4533	0.237	0.046	1.108	0.014	7.664	0.0079	26.54	0.00001	0.04269	0.0018	0.03149	0.0006	0.00126	0.00073	1.685	0.00001	2.5	0.00057	4883	0.1	84.8	0.7	62.6	0.7	727.6	0.6	36880	0.1	13.1	12	33.4	1.7	29.3	1.1	73.8	0.6	19.8	0.6	< 0.7	0.7	9.4	0.3	< 0.1	0.1	0.6	0.3			93	0.2	123.4	0.2	33.1	0.5	328.5	0.3	19.1	1	< 1.1	1.1			0.7	0.5	< 0.5	0.5	< 0.5	0.5	4	0.8	< 0.3	0.3	< 0.6	0.6	2.9	0.8	< 1.0	1	< 0.5	0.5	1.7	1.5			3.9	3.9	659.8	4.9	49.8	6.7	120.7	8.3	< 4.0	4	< 21	21			10.6	2									13.4	2.5	< 1.6	1.6	3	1.5	0.9	0.8	< 0.7	0.7	0.7	0.6	29.7	0.6	< 0.5	0.5	14.5	0.7	< 0.4	0.4	85.534		YL43	0.04262455
YL45_S	YL45	0.04579446		8/15/2012 14:22	0	11.8361	< 0.010	0.01	1.022	0.024	10.19	0.013	33.93	0.00001	0.00944	0.0022	0.06367	0.00044	0.00301	0.00079	1.423	0.00001	0.3554	0.00082	4744	0.1	74.4	0.6	58.2	0.5	471.2	0.6	41700	0.1	21.4	12	29.7	1.8	25.5	1.2	63	0.7	16.5	0.6	< 0.5	0.5	8.5	0.4	< 0.5	0.5	0.4	0.3			78.3	0.3	101.2	0.3	30.8	0.6	581.4	0.1	21.5	1.2	< 1.5	1.5			0.8	0.5	< 0.5	0.5	< 0.5	0.5	3.8	0.9	< 0.7	0.7	0.4	0.4	2.5	0.9	0.6	0.6	< 0.9	0.9	< 0.7	0.7			< 1.0	1	612.3	5.9	45.1	9.5	124.3	11	< 4.0	4	< 5.1	5			10	1.7									14.3	2.5	< 1.6	1.6	1.5	1.5	< 1.0	1	< 0.7	0.7	< 0.1	0.1	34.4	0.7	< 0.5	0.5	12.4	0.7	< 0.4	0.4	102.9999		YL44	0.04289194
YL46_S	YL46	0.03554974		8/15/2012 14:26	0	11.117	< 0.010	0.01	0.649	0.015	7.789	0.0082	28.8	0.00001	0.03747	0.0019	0.01699	0.00068	0.00118	0.00073	1.387	0.00001	0.3351	0.00075	5611	0.1	99.8	0.6	72.8	0.5	669.8	0.5	41530	0.1	29.2	12	39.3	1.6	25.7	1.1	71	0.6	19.8	0.7	< 0.5	0.5	13.2	0.3	< 0.1	0.1	1.2	0.3			95.3	0.2	67.6	0.2	32	0.5	382.3	0.1	23.2	0.9	1.9	1.1			< 0.5	0.5	< 0.5	0.5	< 0.5	0.5	3.6	0.8	< 0.3	0.3	< 0.5	0.5	3.7	0.8	0.8	0.7	< 0.5	0.5	1.9	1.7			< 3.9	3.8	505.4	5	45.1	6.6	142.7	8.2	< 4.0	4	< 20	20			7.4	1.9									17	2.5	< 1.6	1.6	3.9	1.5	< 1.0	1	< 0.7	0.7	< 0.4	0.4	43.1	0.6	< 0.5	0.5	16.4	0.7	< 0.4	0.4	86.8508		YL45	0.04579446
YL47_S	YL47	0.03081550		8/15/2012 16:03	0	11.3698	0.0518	0.046	0.739	0.015	6.742	0.009	29.62	0.00001	0.0392	0.0019	0.01661	0.00068	0.00362	0.00073	1.493	0.00001	1.2	0.0007	5415	0.1	84.8	0.7	67.2	0.6	812.3	0.5	37370	0.1	22.9	12	32.7	1.6	24.7	1.1	69.2	0.6	19.9	0.6	< 0.5	0.5	10.7	0.3	< 0.1	0.1	1	0.3			89.6	0.2	94.9	0.2	34.9	0.5	383.6	0.1	20	1	1.6	1.1			< 0.5	0.5	< 0.5	0.5	< 0.5	0.5	4.9	0.8	< 0.5	0.5	< 0.5	0.5	2.7	0.8	< 1.0	1	< 0.5	0.5	< 0.7	0.7			< 1.0	1	605.2	5.1	37.4	6.8	120.1	8.4	< 4.0	4	< 5.1	5			4.8	2									14	2.5	< 1.6	1.6	3.1	1.5	< 1.0	1	< 0.7	0.7	< 0.3	0.3	35.4	0.6	< 0.5	0.5	15.8	0.7	< 0.4	0.4	87.5791		YL46	0.03554974
YL48_S	YL48	0.02496263		8/15/2012 16:06	0	12.3753	0.238	0.077	1.694	0.023	10.4	0.012	31.69	0.00001	0.0446	0.0021	0.06274	0.00045	0.00419	0.00081	1.723	0.00001	2.493	0.00062	4719	0.1	101	0.8	62.8	0.8	574.2	0.6	38410	0.1	12.8	13	38	1.8	30.4	1.2	83.9	0.7	18.6	0.6	< 0.6	0.6	8.2	0.4	< 0.1	0.1	< 0.3	0.3			91.9	0.3	172.8	0.2	29.7	0.6	278.3	0.6	20.4	1.2	1.9	1.2			0.9	0.6	< 0.5	0.5	< 0.5	0.5	3.8	0.9	0.5	0.5	0.9	0.7	2.7	0.9	0.8	0.8	< 0.9	0.9	< 2.3	2.3			< 4.6	4.6	711.6	5.8	52.7	9.3	120.2	11	< 4.0	4	< 27	27			8.9	2.1									8.8	2.5	< 1.6	1.6	< 1.5	1.5	< 1.0	1	< 0.7	0.7	< 0.2	0.2	33.9	0.7	< 0.5	0.5	10.9	0.7	< 0.4	0.4	102.9991		YL47	0.03081550
YL49_S	YL49	0.01784872		8/15/2012 16:10	0	11.2268	< 0.010	0.01	0.553	0.015	10.25	0.0078	26.88	0.00001	0.0439	0.0019	0.04719	0.00051	0.00391	0.00071	1.315	0.00001	0.6846	0.00068	5384	0.1	111.7	0.6	76.4	0.5	315.4	0.6	41040	0.1	< 12	12	24.3	1.6	27.2	1.1	64.4	0.6	20.8	0.6	< 0.5	0.5	27	0.3	0.4	0.3	0.8	0.3			69.7	0.2	62.9	0.2	23.2	0.5	244.6	0.5	17.8	0.9	0.9	0.8			1	0.5	< 0.5	0.5	< 0.5	0.5	4.2	0.8	0.7	0.6	< 0.6	0.6	2.5	0.8	1	1	< 0.5	0.5	< 2.0	1.9			< 3.9	3.8	336.7	5.1	33.7	6.7	101.7	8.3	< 4.0	4	< 5.1	5			6.2	1.7									10.4	2.5	< 1.6	1.6	2.6	1.5	< 0.9	0.9	< 0.7	0.7	< 0.3	0.3	37.3	0.6	< 0.5	0.5	12	0.7	< 0.4	0.4	87.5217		YL48	0.02496263
