Element	Site	Distance from PP	Description	Eval Date	Layer Thickness	Mass coefficient.	Na	Na	Mg	Mg	Al	Al	Si	Si	P	P	S	S	Cl	Cl	K	K	Ca	Ca	Ti	Ti	V	V	Cr	Cr	Mn	Mn	Fe	Fe	Co	Co	Ni	Ni	Cu	Cu	Zn	Zn	Ga	Ga	Ge	Ge	As	As	Se	Se	Br	Br	Kr	Kr	Rb	Rb	Sr	Sr	Y	Y	Zr	Zr	Nb	Nb	Mo	Mo	Tc	Tc	Ru	Ru	Rh	Rh	Pd	Pd	Ag	Ag	Cd	Cd	In	In	Sn	Sn	Sb	Sb	Te	Te	I	I	Xe	Xe	Cs	Cs	Ba	Ba	La	La	Ce	Ce	Pr	Pr	Nd	Nd	Pm	Pm	Sm	Sm	Er	Er	Tm	Tm	Yb	Yb	Lu	Lu	Hf	Hf	Ta	Ta	W	W	Au	Au	Hg	Hg	Tl	Tl	Pb	Pb	Bi	Bi	Th	Th	U	U	Sum Conc.		YLPP	0.00000000
Dimension					nm	cm?/g	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	%	%	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	%	%	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	%	%	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	%	%	?g/g	?g/g	?g/g	?g/g	%	%	?g/g	?g/g	%	%	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	%		YL01	0.02385448
YL09_S	YL09	0.01660008		8/13/2012 16:53	0	12.2151	0.29	0.083	2.116	0.024	11.05	0.011	30.97	0.00001	0.0641	0.0021	0.04336	0.0006	0.00816	0.00082	2.1	0.00001	1.416	0.00092	4319	0.1	66	0.8	53.8	0.7	841.5	0.5	42630	0.1	43.8	13	66.5	1.8	29.3	1.2	122	0.7	19.9	0.6	< 0.1	0.1	8.7	0.4	0.3	0.3	< 0.1	0.1			108.7	0.3	140.6	0.3	77	0.6	283	0.6	18.5	1.3	1.4	1.2			0.9	0.6	< 0.5	0.5	< 0.5	0.5	4.4	0.9	0.6	0.5	0.6	0.6	3.4	0.9	2.3	1.1	2	0.9	3.5	2.3			8.5	4.5	868.4	5.6	110.4	9.5	171.8	11	< 4.0	4	36.2	28			15.9	2.2	< 7.1	7			8	2.5			5.4	2.6	< 1.6	1.6	< 1.2	1.2	< 1.0	1	< 0.7	0.7	< 0.3	0.3	34.1	0.7	< 0.5	0.5	11.8	0.7	< 0.4	0.4	103		YL09	0.01660008
YL10_S	YL10	0.01445766		8/13/2012 16:56	0	11.6665	0.1049	0.051	1.321	0.016	8.326	0.0083	25.27	0.00001	0.0464	0.0018	0.02517	0.00066	0.00475	0.00073	1.934	0.00001	0.5488	0.00089	4867	0.1	77.6	0.7	56.8	0.5	611.3	0.6	44400	0.1	75	12	53.4	1.7	35.7	1.1	135.2	0.6	23.8	0.6	1.1	0.7	5.6	0.3	< 0.3	0.3	0.7	0.3			109.1	0.3	151.5	0.2	88	0.6	277.8	0.4	19.8	1.2	0.6	0.5			0.8	0.5	< 0.5	0.5	< 0.5	0.5	4.5	0.8	< 0.4	0.4	< 0.5	0.5	2.7	0.8	0.4	0.4	< 0.8	0.8	< 2.0	2			7.7	4	1020	4.6	149.9	6.9	333.3	8.4	19.1	17	144.6	22			65.4	1.9	< 12	12			10.9	2.5			4.3	2.6	< 1.6	1.6	< 1.2	1.2	1.4	1	< 0.7	0.7	< 0.7	0.7	34	0.6	< 0.5	0.5	15.4	0.8	< 0.4	0.4	82.9902		YL10	0.01445766
YL11_S	YL11	0.01424898		8/13/2012 16:59	0	11.6521	< 0.010	0.01	1.137	0.016	8.779	0.0073	23.21	0.00001	0.0629	0.0018	0.04071	0.00054	0.00289	0.00072	1.933	0.00001	1.146	0.00083	4725	0.1	88.7	0.7	63.8	0.6	468.2	0.6	44180	0.1	38.1	12	33.2	1.7	30	1.1	125.3	0.6	23.4	0.6	1.4	0.7	5.4	0.3	0.6	0.3	1.9	0.3			113.2	0.3	199.4	0.2	51.7	0.6	273.9	0.4	18.1	1	2.1	1			0.9	0.5	< 0.5	0.5	< 0.5	0.5	4.7	0.8	< 0.1	0.1	< 0.5	0.5	2	0.8	< 0.5	0.5	< 0.5	0.5	< 0.7	0.7			< 1.0	1	670.9	5	54.1	7.1	102.2	8.7	< 4.0	4	< 5.1	5			19.3	1.8	< 4.7	4.7			7.9	2.5			3.9	2.6	< 1.6	1.6	< 1.2	1.2	< 1.0	1	< 0.7	0.7	< 0.3	0.3	34.4	0.6	< 0.5	0.5	13.6	0.8	< 0.4	0.4	79.7248		YL11	0.01424898
YL12_S	YL12	0.00949792		8/13/2012 17:03	0	11.0727	0.0639	0.05	0.966	0.015	7.226	0.0071	22.74	0.00001	0.1055	0.0017	0.1105	0.00001	0.00979	0.00069	1.576	0.00001	2.382	0.00053	4510	0.1	90.1	0.7	63.7	0.7	566.3	0.6	36970	0.1	16.5	12	34.1	1.6	35.3	1.1	118.1	0.6	18.4	0.6	< 0.5	0.5	12.4	0.3	1.4	0.3	3.8	0.3			82.1	0.2	152.4	0.2	26.3	0.5	257.8	0.4	17.7	0.9	2.6	1			0.9	0.5	< 0.5	0.5	< 0.5	0.5	4	0.8	0.7	0.6	< 0.6	0.6	2.8	0.8	0.8	0.7	< 0.5	0.5	< 2.0	2			< 1.0	1	506.1	5	25.1	6.9	77.9	8.4	< 4.0	4	< 5.1	5			5.9	1.9									9.1	2.5	< 1.6	1.6	2.5	1.5	< 0.9	0.9	< 0.7	0.7	0.6	0.5	41.3	0.6	< 0.5	0.5	12.4	0.7	< 0.4	0.4	76.0585		YL12	0.00949792
YL13_S	YL13	0.00793332		8/13/2012 17:06	0	12.3621	0.33	0.048	1.684	0.015	8.422	0.0078	24.46	0.00001	0.086	0.0018	0.03631	0.00063	0.00652	0.00076	2.195	0.00001	2.315	0.00081	5904	0.1	135.3	0.8	88.1	0.7	895.6	0.6	49070	0.1	35	13	54.2	1.8	51.2	1.2	118	0.7	24.6	0.7	0.8	0.8	12.1	0.4	< 0.2	0.1	1.7	0.3			124.4	0.3	126.6	0.2	32.9	0.6	213.7	0.6	20.9	1	1.6	1			1.1	0.5	< 0.5	0.5	< 0.5	0.5	4.2	0.8	0.6	0.5	0.4	0.4	3.9	0.8	1.7	0.9	0.5	0.5	3.3	1.9			9.1	3.7	633.2	4.6	48.4	6.3	113.8	7.8	< 16	16	19.4	17			3.9	2.3									11.4	2.7	< 1.6	1.6	2.5	1.6	< 1.1	1	< 0.7	0.7	< 0.4	0.4	41.1	0.7	< 0.5	0.5	16.2	0.8	< 0.4	0.4	86.0078		YL13	0.00793332
YL15_S	YL15	0.00760170		8/13/2012 17:09	0	12.5101	0.555	0.046	1.508	0.014	7.523	0.008	26.47	0.00001	0.0527	0.0019	0.07196	0.00039	0.03041	0.00076	2.008	0.00001	2.972	0.00066	5710	0.1	115.5	0.8	76.4	0.8	805	0.6	42320	0.1	< 13	13	44.8	1.7	36.1	1.1	92.6	0.6	21.4	0.7	< 0.5	0.5	9.3	0.4	< 0.2	0.2	1.2	0.3			110.6	0.2	142.9	0.2	31.9	0.6	246.5	0.5	20.2	1	2.1	1			1	0.5	< 0.5	0.5	< 0.5	0.5	3.7	0.8	< 0.5	0.5	1	0.6	3.4	0.8	2.2	0.9	0.9	0.7	3.7	1.9			10.3	3.6	577.3	4.6	57.2	6.1	112.5	7.6	16.6	15	32.1	19			9	2.2									11.4	2.7	< 1.6	1.6	3.1	1.6	< 1.0	1	< 0.7	0.7	< 0.7	0.7	32	0.6	< 0.5	0.5	15.3	0.8	< 0.4	0.4	88.3392		YL14	0.00760170
YL16_S	YL16	0.00750338		8/13/2012 17:12	0	11.2698	< 0.010	0.01	0.38	0.016	8.469	0.0078	24.51	0.00001	0.0459	0.0018	0.0956	0.00001	0.00311	0.00068	1.047	0.00001	2.274	0.00021	4738	0.1	94.1	0.6	76	0.7	284.1	0.6	37540	0.1	< 12	12	26.6	1.6	34.5	1.1	84.7	0.6	18.8	0.6	1.3	0.7	29.1	0.3	0.9	0.3	1.5	0.3			63.6	0.2	103.2	0.2	23.4	0.5	296.8	0.4	19.9	0.9	2.1	1			1	0.5	< 0.5	0.5	< 0.5	0.5	4.7	0.8	0.8	0.6	0.8	0.6	2.3	0.8	0.4	0.4	< 0.5	0.5	< 0.7	0.7			< 1.0	1	298.7	5.4	22.8	7.3	79.8	8.9	< 4.0	4	< 5.1	5			4.9	1.8									11.9	2.5	< 1.6	1.6	1.7	1.5	< 0.9	0.9	< 0.7	0.7	< 0.2	0.2	40.5	0.6	< 0.5	0.5	12.7	0.7	< 0.4	0.4	80.2311		YL15	0.00760170
YL17_S	YL17	0.00748088		8/14/2012 13:01	0	10.9653	< 0.010	0.01	0.723	0.015	8.739	0.0082	25.83	0.00001	0.0526	0.0018	0.05881	0.00036	0.00551	0.00069	1.465	0.00001	1.324	0.00065	5262	0.1	91.1	0.6	68	0.6	547	0.5	32640	0.1	19.3	12	26.9	1.6	25	1	79.4	0.6	19.5	0.6	< 0.5	0.5	17.4	0.3	0.5	0.3	2.4	0.3			78.3	0.2	84.1	0.2	28.4	0.5	310.9	0.3	18.6	0.9	0.8	0.7			0.7	0.5	< 0.5	0.5	< 0.5	0.5	3.7	0.8	< 0.4	0.4	< 0.5	0.5	3.3	0.8	1.5	1	< 0.5	0.5	< 2.0	2			< 1.0	1	404.2	5.2	42.9	7.1	106.6	8.7	< 4.0	4	< 21	21			10.1	1.7									9.3	2.4	< 1.6	1.6	3.2	1.4	< 0.9	0.9	< 0.7	0.7	< 0.4	0.4	36.2	0.6	< 0.5	0.5	12.4	0.6	< 0.4	0.4	82.6556		YL16	0.00750338
YL19_S	YL18	0.01049375		8/14/2012 13:07	0	11.3817	< 0.010	0.01	0.3721	0.013	6.754	0.0076	27.5	0.00001	0.0403	0.0019	0.02134	0.00064	0.00343	0.00071	1.402	0.00001	0.301	0.00077	5226	0.1	94.4	0.6	75.2	0.5	608	0.6	40250	0.1	38.6	12	30	1.6	24.5	1.1	79.4	0.6	19.2	0.7	< 0.5	0.5	19.4	0.3	< 0.5	0.5	0.4	0.3			89.3	0.2	71.6	0.2	30.2	0.5	341.6	0.2	19.6	0.9	1.1	1			0.7	0.5	< 0.5	0.5	< 0.5	0.5	4.4	0.8	< 0.1	0.1	< 0.6	0.6	3.6	0.8	1	0.9	< 0.5	0.5	< 1.9	1.9			< 3.8	3.7	471.1	4.8	39.4	6.1	103	7.7	< 4.0	4	< 5.1	5			11.3	1.7									11.2	2.6	< 1.6	1.6	2.7	1.5	< 1.0	1	< 0.7	0.7	0.6	0.6	38.8	0.6	< 0.5	0.5	15.5	0.7	< 0.4	0.4	81.3706		YL17	0.00748088
YL20_S	YL19	0.01784953		8/8/2012 11:48	0	11.1907	0.263	0.04	0.697	0.013	6.865	0.0081	29.13	0.00001	0.00943	0.0019	0.00485	0.00074	0.00185	0.00074	1.618	0.00001	0.4044	0.00084	5804	0.1	93	0.6	76.3	0.5	756.6	0.5	36680	0.1	16.1	12	36.4	1.6	20.9	1	56.6	0.6	19	0.7	< 0.5	0.5	11.7	0.3	< 0.5	0.5	2.7	0.3			105.3	0.2	91.6	0.2	33.1	0.5	311.6	0.3	21.5	0.9	< 0.5	0.5			0.8	0.5	< 0.5	0.5	< 0.5	0.5	4.6	0.7	< 0.1	0.1	0.5	0.5	2.7	0.8	0.7	0.6	< 0.5	0.5	< 1.9	1.9			< 3.8	3.7	587.4	4.8	42.6	6.1	110.6	7.7	< 4.0	4	< 19	19			13	1.8									12.8	2.5	< 1.6	1.6	2.3	1.5	< 1.0	0.9	< 0.7	0.7	0.6	0.6	25.1	0.6	< 0.5	0.5	17.7	0.7	< 0.4	0.4	85.8829		YL18	0.01049375
YL20_S	YL20	0.02097225		8/14/2012 13:11	0	11.6198	0.162	0.067	1.031	0.021	9.147	0.013	35.09	0.00001	0.00998	0.0022	0.00542	0.0008	0.00113	0.00079	1.505	0.00001	0.3756	0.00087	5224	0.1	81.3	0.7	65.4	0.5	675.4	0.5	36080	0.1	13.3	12	34.8	1.7	19.6	1.1	52.5	0.6	16.6	0.6	< 0.1	0.1	12.2	0.3	< 0.5	0.5	1.7	0.3			99.1	0.2	88	0.2	32.1	0.6	317.7	0.4	22.7	1.1	< 1.2	1.2			0.8	0.5	< 0.5	0.5	< 0.5	0.5	4	0.8	< 0.2	0.2	< 0.7	0.7	3.6	0.8	1.6	1	0.9	0.8	5.6	2.1			11.3	4.2	576.2	5.4	67	8.1	139.8	9.7	< 18	18	38.3	24			8.1	1.9									9.9	2.5	< 1.6	1.6	2.3	1.5	< 1.0	1	< 0.7	0.7	0.8	0.7	24.3	0.6	< 0.5	0.5	15.6	0.7	< 0.4	0.4	102.9983		YL19	0.01784953
YL21_S	YL21	0.02569868		8/14/2012 13:14	0	10.8019	0.291	0.07	1.363	0.021	8.864	0.012	34.72	0.00001	0.03755	0.002	0.09107	0.00001	0.00666	0.00074	1.523	0.00001	1.746	0.00062	3862	0.1	56.5	0.7	37.7	0.6	508.5	0.5	26650	0.1	< 12	12	22.2	1.7	19.8	1.1	52	0.6	14.7	0.6	< 0.5	0.5	4	0.3	< 0.3	0.3	< 0.5	0.5			61.9	0.2	109.4	0.2	23.4	0.5	310.8	0.5	15.5	1.1	0.9	0.8			0.4	0.4	< 0.5	0.5	< 0.5	0.5	4.5	0.8	0.9	0.7	< 0.5	0.5	1.5	0.9	< 1.1	1.1	< 0.5	0.5	< 2.3	2.3			< 4.7	4.6	658.7	6	41.4	9.4	109.2	11	< 4.0	4	< 5.1	5			3.7	1.8									7.8	2.3	< 1.6	1.6	2.8	1.4	< 0.9	0.9	< 0.7	0.7	< 0.7	0.7	23.3	0.6	< 0.5	0.5	7.7	0.6	< 0.4	0.4	102.9992		YL20	0.02097225
YL22_S	YL22	0.01538850		8/14/2012 13:17	0	11.5952	0.186	0.075	0.763	0.023	8.804	0.013	35.89	0.00001	0.00879	0.0022	0.0058	0.00078	0.00273	0.00077	1.319	0.00001	0.4736	0.00079	4558	0.1	68.1	0.7	55.6	0.5	491.9	0.6	33130	0.1	18.4	12	28.8	1.7	17.5	1.1	46	0.6	14.8	0.6	1	0.6	9.4	0.4	< 0.5	0.5	< 0.5	0.5			80.8	0.2	100.1	0.3	33.3	0.6	436.5	0.1	20.3	1.1	< 1.3	1.3			0.7	0.5	< 0.5	0.5	< 0.5	0.5	3.5	0.8	< 0.6	0.6	< 0.3	0.3	2.8	0.9	< 1.1	1.1	< 0.5	0.5	< 2.3	2.3			< 4.6	4.5	559.7	5.9	61.8	9.3	142.3	11	< 19	19	< 27	27			10.4	1.8									11	2.4	< 1.6	1.6	1.8	1.4	< 0.9	0.9	< 0.7	0.7	< 0.5	0.5	25.3	0.7	< 0.5	0.5	11.9	0.6	< 0.4	0.4	102.9969		YL21	0.02569868
YL23_S	YL23	0.01526811		8/14/2012 13:20	0	11.3002	< 0.048	0.048	0.841	0.015	8.132	0.0081	26.65	0.00001	0.01534	0.0018	0.03156	0.00059	0.00415	0.00071	1.631	0.00001	1.248	0.00072	4899	0.1	91.6	0.7	63.8	0.6	580.5	0.6	39280	0.1	18.2	12	29.3	1.7	24.3	1.1	71.6	0.6	20.7	0.6	1.1	0.7	13.3	0.3	< 0.1	0.1	0.3	0.3			88.6	0.2	138.1	0.2	29.7	0.5	391.4	0.1	19.6	1	< 0.5	0.5			< 0.5	0.5	< 0.5	0.5	< 0.5	0.5	4.9	0.8	0.8	0.6	< 0.6	0.6	1.3	0.8	< 0.5	0.5	< 0.5	0.5	< 0.7	0.7			< 1.0	1	734.4	5.1	43.7	7.2	107.5	8.8	< 4.0	4	< 5.1	5			10	1.8									12	2.5	< 1.6	1.6	2.8	1.5	< 1.0	1	< 0.7	0.7	< 0.5	0.5	29.8	0.6	< 0.5	0.5	12.6	0.7	< 0.4	0.4	84.3526		YL22	0.01538850
YL24_S	YL24	0.01345640		8/14/2012 13:24	0	12.2434	0.161	0.051	1.436	0.016	8.824	0.0082	25.27	0.00001	0.202	0.0018	0.041	0.00059	0.00594	0.00075	1.967	0.00001	1.495	0.00081	5155	0.1	112.9	0.7	75.4	0.6	661.6	0.6	47770	0.1	26.4	12	47.7	1.8	50.8	1.1	143.5	0.6	25.5	0.6	2.6	0.7	8	0.4	0.7	0.3	1.8	0.3			116.6	0.3	162.4	0.2	35.1	0.6	267.7	0.5	19.9	1	1.4	1			0.7	0.5	< 0.5	0.5	< 0.5	0.5	4.1	0.8	0.5	0.4	0.6	0.5	3.3	0.8	0.6	0.5	< 0.5	0.5	< 0.7	0.7			< 3.9	3.9	680	4.9	42.2	6.8	105.6	8.3	< 4.0	4	< 5.1	5			11.7	2									11.5	2.7	< 1.6	1.6	1.9	1.6	< 1.1	1	< 0.7	0.7	0.4	0.4	55.8	0.6	< 0.5	0.5	18.1	0.8	< 0.4	0.4	86.3947		YL23	0.01526811
